Country of Giftor,year,amount,name
ARGENTINA,2017,205175,Argentina
AUSTRALIA,2017,7090903,Australia
AUSTRIA,2017,4655820,Austria
AZERBAIJAN,2017,22268,Azerbaijan
BAHAMAS,2017,5370124,Bahamas
BAHRAIN,2017,415800,Bahrain
BANGLADESH,2017,1265495,Bangladesh
BARBADOS,2017,100,Barbados
BELGIUM,2017,15935539,Belgium
BERMUDA,2017,36838399,Bermuda
BOSNIA AND HERZEGOVINA,2017,56529,Bosnia And Herzegovina
BRAZIL,2017,11767848,Brazil
BULGARIA,2017,956179,Bulgaria
BURMA,2017,1085773,Burma
CANADA,2017,67862754,Canada
CAYMAN ISLANDS (THE),2017,1802651,Cayman Islands (The)
CEYLON,2017,255870,Ceylon
CHILE,2017,13210006,Chile
CHINA,2017,105755997,China
COLOMBIA,2017,4936076,Colombia
COSTA RICA,2017,1051736,Costa Rica
CROATIA,2017,26,Croatia
CURAçAO,2017,600000,Curaçao
CYPRUS,2017,50,Cyprus
CZECH REPUBLIC,2017,130,Czech Republic
DENMARK,2017,14938287,Denmark
DOMINICAN REPUBLIC,2017,25,Dominican Republic
ECUADOR,2017,99950,Ecuador
EGYPT,2017,5,Egypt
EL SALVADOR,2017,1010000,El Salvador
ENGLAND,2017,141542584,England
ERITREA,2017,3,Eritrea
ETHIOPIA,2017,49170,Ethiopia
FINLAND,2017,1012058,Finland
FRANCE,2017,72446485,France
GEORGIA,2017,10027,Georgia
GERMANY,2017,53721455,Germany
GHANA,2017,1048722,Ghana
GREECE,2017,1328681,Greece
GUAM,2017,165658,Guam
GUATEMALA,2017,369944,Guatemala
GUERNSEY,2017,500000,Guernsey
HONDURAS,2017,2030,Honduras
HONG KONG,2017,100371088,Hong Kong
HUNGARY,2017,1063476,Hungary
ICELAND,2017,50,Iceland
INDIA,2017,31200723,India
INDONESIA,2017,4614649,Indonesia
IRAN,2017,50,Iran
IRAQ,2017,1223327,Iraq
IRELAND,2017,10913476,Ireland
ISLE OF MAN,2017,2000000,Isle Of Man
ISRAEL,2017,10792191,Israel
ITALY,2017,15406848,Italy
JAMAICA,2017,175,Jamaica
JAPAN,2017,60835419,Japan
JORDAN,2017,270000,Jordan
KAZAKHSTAN,2017,15685529,Kazakhstan
KENYA,2017,1320052,Kenya
KOREA,2017,16987173,Korea
KUWAIT,2017,5813049,Kuwait
LEBANON,2017,1674802,Lebanon
LESOTHO,2017,8896,Lesotho
LIBERIA,2017,1170,Liberia
LIECHTENSTEIN,2017,2673692,Liechtenstein
LUXEMBOURG,2017,9508,Luxembourg
MALAWI,2017,1234016,Malawi
MALAYSIA,2017,8204831,Malaysia
MALI,2017,14147,Mali
MALTA,2017,74805,Malta
MAURITIUS,2017,750000,Mauritius
MEXICO,2017,15910603,Mexico
MONACO,2017,2428057,Monaco
MOZAMBIQUE,2017,272305,Mozambique
NAMIBIA,2017,180200,Namibia
NEPAL,2017,27744,Nepal
NEW ZEALAND,2017,1233992,New Zealand
NIGERIA,2017,3057560,Nigeria
NORWAY,2017,10820838,Norway
OMAN,2017,203230,Oman
PAKISTAN,2017,1284210,Pakistan
PALESTINE STATE OF,2017,275000,Palestine State Of
PANAMA,2017,1482109,Panama
PAPUA NEW GUINEA,2017,369728,Papua New Guinea
PERU,2017,1288537,Peru
PHILIPPINES,2017,5187375,Philippines
POLAND,2017,1054,Poland
PORTUGAL,2017,812416,Portugal
PUERTO RICO,2017,804103,Puerto Rico
QATAR,2017,250418305,Qatar
ROMANIA,2017,440000,Romania
RUSSIA,2017,551,Russia
RWANDA,2017,1838020,Rwanda
SAUDI ARABIA,2017,98678107,Saudi Arabia
SCOTLAND,2017,1203393,Scotland
SENEGAL,2017,43482,Senegal
SERBIA,2017,340576,Serbia
SINGAPORE,2017,36724804,Singapore
SLOVAKIA,2017,20,Slovakia
SLOVENIA,2017,40,Slovenia
SOUTH AFRICA,2017,6653078,South Africa
SOUTH KOREA,2017,21167736,South Korea
SPAIN,2017,12222288,Spain
SWAZILAND,2017,117118,Swaziland
SWEDEN,2017,10180906,Sweden
SWITZERLAND,2017,80447822,Switzerland
SYRIAN ARAB REPUBLIC,2017,506156,Syrian Arab Republic
TAIWAN,2017,14960513,Taiwan
TANZANIA,2017,1741108,Tanzania
THAILAND,2017,73090331,Thailand
THE NETHERLANDS,2017,16471709,The Netherlands
TOKELAU,2017,6000,Tokelau
TRINIDAD,2017,120645,Trinidad
TUNISIA,2017,328296,Tunisia
TURKEY,2017,7132922,Turkey
UGANDA,2017,688440,Uganda
UNITED ARAB EMIRATES,2017,6380904,United Arab Emirates
UNITED NATIONS,2017,1979815,United Nations
USA,2017,3783980,Usa
VENEZUELA,2017,250000,Venezuela
VIETNAM,2017,1063818,Vietnam
VIRGIN ISLANDS (BRITISH),2017,1010000,Virgin Islands (British)
WALES,2017,1338000,Wales
ZAMBIA,2017,1785427,Zambia
