index,Country,year,GiftAmount
56,BERMUDA,2012,250000
57,BERMUDA,2013,2307500
58,BERMUDA,2014,1600000
59,BERMUDA,2015,5040410
60,BERMUDA,2016,758289912
61,BERMUDA,2017,36838399
89,CANADA,2012,146456519
90,CANADA,2013,92069861
91,CANADA,2014,25923369
92,CANADA,2015,30485178
93,CANADA,2016,61085189
94,CANADA,2017,67862754
106,CHINA,2012,35208728
107,CHINA,2013,46927021
108,CHINA,2014,58484858
109,CHINA,2015,60260927
110,CHINA,2016,130139026
111,CHINA,2017,105755997
160,ENGLAND,2012,86930489
161,ENGLAND,2013,75725975
162,ENGLAND,2014,115275973
163,ENGLAND,2015,171631396
164,ENGLAND,2016,139290470
165,ENGLAND,2017,141542584
181,FRANCE,2012,29310216
182,FRANCE,2013,40049822
183,FRANCE,2014,55482078
184,FRANCE,2015,62578281
185,FRANCE,2016,58297516
186,FRANCE,2017,72446485
228,HONG KONG,2012,38628216
229,HONG KONG,2013,44116830
230,HONG KONG,2014,53040565
231,HONG KONG,2015,90985743
232,HONG KONG,2016,82433769
233,HONG KONG,2017,100371088
284,JAPAN,2012,40721261
285,JAPAN,2013,37367013
286,JAPAN,2014,52856674
287,JAPAN,2015,64368825
288,JAPAN,2016,69512920
289,JAPAN,2017,60835419
458,QATAR,2012,125177977
459,QATAR,2013,105712305
460,QATAR,2014,148093242
461,QATAR,2015,303798082
462,QATAR,2016,363934098
463,QATAR,2017,250418305
476,SAUDI ARABIA,2012,99131430
477,SAUDI ARABIA,2013,67394954
478,SAUDI ARABIA,2014,127698561
479,SAUDI ARABIA,2015,93225195
480,SAUDI ARABIA,2016,82531174
481,SAUDI ARABIA,2017,98678107
538,SWITZERLAND,2012,56563007
539,SWITZERLAND,2013,34424114
540,SWITZERLAND,2014,54300571
541,SWITZERLAND,2015,56480607
542,SWITZERLAND,2016,58200367
543,SWITZERLAND,2017,80447822
