Country,year,GiftAmount
AFGHANISTAN,2012,2882074
AFGHANISTAN,2013,3629390
AFGHANISTAN,2014,1604589
ARGENTINA,2012,646268
ARGENTINA,2013,597798
ARGENTINA,2014,300000
ARGENTINA,2015,561426
ARGENTINA,2016,3145391
ARGENTINA,2017,205175
AUSTRALIA,2012,7216576
AUSTRALIA,2013,1577740
AUSTRALIA,2014,3785873
AUSTRALIA,2015,20170275
AUSTRALIA,2016,4362805
AUSTRALIA,2017,7090903
AUSTRIA,2012,1084589
AUSTRIA,2013,6154069
AUSTRIA,2014,979175
AUSTRIA,2015,1105784
AUSTRIA,2016,1025466
AUSTRIA,2017,4655820
AZERBAIJAN,2017,22268
BAHAMAS,2012,5314838
BAHAMAS,2013,2558963
BAHAMAS,2014,1637229
BAHAMAS,2015,14105847
BAHAMAS,2016,8420220
BAHAMAS,2017,5370124
BAHRAIN,2012,1232485
BAHRAIN,2013,1166569
BAHRAIN,2014,480888
BAHRAIN,2015,557106
BAHRAIN,2016,309122
BAHRAIN,2017,415800
BANGLADESH,2012,1108159
BANGLADESH,2013,800131
BANGLADESH,2014,2302869
BANGLADESH,2015,410973
BANGLADESH,2016,1901477
BANGLADESH,2017,1265495
BARBADOS,2017,100
BELARUS,2015,100
BELGIUM,2012,3592009
BELGIUM,2013,5597374
BELGIUM,2014,5443698
BELGIUM,2015,3997729
BELGIUM,2016,8082920
BELGIUM,2017,15935539
BERMUDA,2012,250000
BERMUDA,2013,2307500
BERMUDA,2014,1600000
BERMUDA,2015,5040410
BERMUDA,2016,758289912
BERMUDA,2017,36838399
BOLIVIA,2016,300000
BOSNIA AND HERZEGOVINA,2017,56529
BOSNIA-HERCEGOVINA,2015,76925
BOSNIA-HERCEGOVINA,2016,41967
BOTSWANA,2013,585102
BOTSWANA,2014,544324
BOTSWANA,2015,323044
BRAZIL,2012,10849585
BRAZIL,2013,44735709
BRAZIL,2014,17471280
BRAZIL,2015,27347549
BRAZIL,2016,16438741
BRAZIL,2017,11767848
BRITISH WEST INDIES,2012,1155000
BRITISH WEST INDIES,2013,1638506
BRITISH WEST INDIES,2015,2531000
BULGARIA,2016,200
BULGARIA,2017,956179
BURMA,2012,498703
BURMA,2013,660737
BURMA,2014,486167
BURMA,2015,1824651
BURMA,2016,1944701
BURMA,2017,1085773
CANADA,2012,146456519
CANADA,2013,92069861
CANADA,2014,25923369
CANADA,2015,30485178
CANADA,2016,61085189
CANADA,2017,67862754
CAYMAN ISLANDS (THE),2016,500000
CAYMAN ISLANDS (THE),2017,1802651
CEYLON,2015,386649
CEYLON,2017,255870
CHILE,2012,2466732
CHILE,2013,3273515
CHILE,2014,2406661
CHILE,2015,746179
CHILE,2016,2851049
CHILE,2017,13210006
CHINA,2012,35208728
CHINA,2013,46927021
CHINA,2014,58484858
CHINA,2015,60260927
CHINA,2016,130139026
CHINA,2017,105755997
COLOMBIA,2012,1206182
COLOMBIA,2013,6901549
COLOMBIA,2014,3700570
COLOMBIA,2015,5139774
COLOMBIA,2016,6332725
COLOMBIA,2017,4936076
COSTA RICA,2015,50
COSTA RICA,2016,385
COSTA RICA,2017,1051736
CROATIA,2017,26
CURAçAO,2017,600000
CYPRUS,2012,1538399
CYPRUS,2013,1931419
CYPRUS,2014,2500000
CYPRUS,2015,3750000
CYPRUS,2017,50
CZECH REPUBLIC,2012,585317
CZECH REPUBLIC,2013,1184344
CZECH REPUBLIC,2015,751023
CZECH REPUBLIC,2016,317570
CZECH REPUBLIC,2017,130
DENMARK,2012,3550621
DENMARK,2013,7125562
DENMARK,2014,12667136
DENMARK,2015,19199945
DENMARK,2016,19312410
DENMARK,2017,14938287
DOMINICAN REPUBLIC,2013,300000
DOMINICAN REPUBLIC,2015,393551
DOMINICAN REPUBLIC,2017,25
ECUADOR,2012,8943187
ECUADOR,2013,997990
ECUADOR,2014,9545000
ECUADOR,2015,17957163
ECUADOR,2016,1021
ECUADOR,2017,99950
EGYPT,2012,555740
EGYPT,2013,2732569
EGYPT,2015,1515232
EGYPT,2016,20
EGYPT,2017,5
EL SALVADOR,2017,1010000
ENGLAND,2012,86930489
ENGLAND,2013,75725975
ENGLAND,2014,115275973
ENGLAND,2015,171631396
ENGLAND,2016,139290470
ENGLAND,2017,141542584
ERITREA,2017,3
ETHIOPIA,2012,560156
ETHIOPIA,2014,500000
ETHIOPIA,2015,2837
ETHIOPIA,2016,42806
ETHIOPIA,2017,49170
FINLAND,2012,1509640
FINLAND,2013,808768
FINLAND,2014,484544
FINLAND,2015,1864905
FINLAND,2016,1526908
FINLAND,2017,1012058
FRANCE,2012,29310216
FRANCE,2013,40049822
FRANCE,2014,55482078
FRANCE,2015,62578281
FRANCE,2016,58297516
FRANCE,2017,72446485
GEORGIA,2012,610890
GEORGIA,2015,2100
GEORGIA,2016,15000
GEORGIA,2017,10027
GERMANY,2012,25383697
GERMANY,2013,21273941
GERMANY,2014,24257859
GERMANY,2015,25729454
GERMANY,2016,37602740
GERMANY,2017,53721455
GHANA,2012,370117
GHANA,2013,1280816
GHANA,2014,725759
GHANA,2015,1177639
GHANA,2016,1030521
GHANA,2017,1048722
GREECE,2012,4683703
GREECE,2013,1000000
GREECE,2014,2300000
GREECE,2015,7305647
GREECE,2016,2485465
GREECE,2017,1328681
GUAM,2017,165658
GUATEMALA,2013,763068
GUATEMALA,2015,250
GUATEMALA,2016,397190
GUATEMALA,2017,369944
GUERNSEY,2017,500000
HAITI,2012,574735
HAITI,2013,595846
HAITI,2014,603459
HAITI,2015,41349
HAITI,2016,271020
HONDURAS,2016,100
HONDURAS,2017,2030
HONG KONG,2012,38628216
HONG KONG,2013,44116830
HONG KONG,2014,53040565
HONG KONG,2015,90985743
HONG KONG,2016,82433769
HONG KONG,2017,100371088
HUNGARY,2015,265000
HUNGARY,2016,55
HUNGARY,2017,1063476
ICELAND,2017,50
INDIA,2012,22474086
INDIA,2013,20460065
INDIA,2014,141274294
INDIA,2015,42361454
INDIA,2016,49096676
INDIA,2017,31200723
INDONESIA,2012,6775087
INDONESIA,2013,4641353
INDONESIA,2014,15165851
INDONESIA,2015,4043042
INDONESIA,2016,3980579
INDONESIA,2017,4614649
IRAN,2016,30
IRAN,2017,50
IRAQ,2014,627328
IRAQ,2015,40358748
IRAQ,2016,1356997
IRAQ,2017,1223327
IRELAND,2012,711024
IRELAND,2013,3425457
IRELAND,2014,2877433
IRELAND,2015,7547106
IRELAND,2016,8078622
IRELAND,2017,10913476
